ml_edge_min,ml_edge_max,favorites_only,rolling_weight_7,rating_cap_low,rating_cap_high,w_rolling_off,w_woba,w_xwoba,w_k_off,w_bb_off,w_rolling_pit,w_fip,w_xfip,w_k_pit,w_bb_pit,rolling_weight_15,n_bets,win_rate,roi,profit
0.05,0.2,False,0.7,0.6,1.5,0.37499999999999994,0.25,0.0,0.125,0.25,0.25,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.25,0.30000000000000004,4043,0.4761,-3.4512,-13953.4
0.03,1.0,True,0.8,0.7,1.5,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.1,0.3,0.1,0.2,0.3,0.19999999999999996,2097,0.5622,-3.4709,-7278.56
0.05,0.1,False,0.7,0.6,1.5,0.25,0.25,0.0,0.25,0.25,0.11111111111111113,0.33333333333333337,0.33333333333333337,0.11111111111111113,0.11111111111111113,0.30000000000000004,2054,0.4533,-3.5103,-7210.15
0.05,0.1,True,0.7,0.65,1.3,0.18181818181818182,0.2727272727272727,0.0,0.2727272727272727,0.2727272727272727,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.33333333333333326,0.30000000000000004,789,0.5589,-3.5179,-2775.66
0.06,0.2,True,0.5,0.6,1.6,0.4285714285714286,0.28571428571428575,0.0,0.14285714285714288,0.14285714285714288,0.1111111111111111,0.33333333333333326,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.5,1472,0.5659,-3.5565,-5235.19
0.07,0.08,False,0.6,0.6,1.5,0.25,0.25,0.0,0.25,0.25,0.22222222222222224,0.11111111111111112,0.3333333333333333,0.22222222222222224,0.11111111111111112,0.4,417,0.4508,-3.5824,-1493.84
0.05,0.2,True,0.8,0.6,1.3,0.22222222222222227,0.33333333333333337,0.0,0.11111111111111113,0.33333333333333337,0.28571428571428575,0.14285714285714288,0.28571428571428575,0.14285714285714288,0.14285714285714288,0.19999999999999996,1558,0.5597,-3.6338,-5661.4
0.05,0.15,True,0.6,0.6,1.4,0.2857142857142857,0.14285714285714285,0.0,0.4285714285714285,0.14285714285714285,0.3,0.1,0.1,0.3,0.2,0.4,1394,0.561,-3.9726,-5537.85
0.05,0.15,False,0.7,0.65,1.5,0.2,0.2,0.0,0.4,0.2,0.27272727272727276,0.27272727272727276,0.27272727272727276,0.09090909090909093,0.09090909090909093,0.30000000000000004,3188,0.4558,-4.0354,-12864.7
0.03,0.08,True,0.6,0.7,1.3,0.25000000000000006,0.375,0.0,0.25000000000000006,0.12500000000000003,0.125,0.25,0.25,0.125,0.25,0.4,1088,0.5588,-4.0876,-4447.36
